date,lon,lat,pm25_ug_m3,pblh_m,u_pbl_m_s,v_pbl_m_s,flux_east_t_d,flux_north_t_d,flux_magnitude_t_d,transport_east_t_d_per_m,transport_north_t_d_per_m,wind_valid_hour_count
2023/4/10,108.8,31.1,33.40359775,1406.7999,1.701482425,1.009414505,76.81601205,39.02142094,86.15898677,0.00690823,0.004098348,24
2023/4/10,108.9,31.1,34.48574777,1363.7874,1.694506794,0.995069315,76.56465864,38.49883788,85.69893507,0.006885625,0.004043462,24
2023/4/10,109,31.1,33.50357641,1317.8751,2.001006762,1.257648354,84.88143108,45.68068562,96.39285441,0.00763357,0.004797759,24
2023/4/10,109.1,31.1,33.27811276,1309.2177,2.000688991,1.2564755,83.7430655,45.03317287,95.08358259,0.007531195,0.004729752,24
2023/4/10,109.2,31.1,33.1292375,1317.7126,2.161850708,1.408701208,90.66852558,50.58933737,103.8270802,0.008154016,0.005313305,24
2023/4/10,109.3,31.1,32.89519964,1329.5364,2.161783976,1.408942454,90.83302273,50.69136415,104.0204423,0.00816881,0.005324021,24
2023/4/10,109.4,31.1,32.71491505,1344.692,2.168559952,1.405420785,91.65132891,50.86077284,104.8178625,0.008242402,0.005341814,24
2023/4/10,109.5,31.1,32.36055693,1360.3264,2.169453201,1.406927902,91.75043145,50.9493821,104.9475164,0.008251315,0.00535112,24
2023/4/10,109.6,31.1,31.79023763,1347.0787,2.168697654,1.405653119,89.22457095,49.51911439,102.0449252,0.008024158,0.005200902,24
2023/4/10,109.7,31.1,32.03576858,1334.7389,2.259722626,1.362378655,92.82935117,47.9222567,104.4692832,0.008348344,0.005033187,24
2023/4/10,109.8,31.1,30.66967142,1319.5298,1.979691534,1.621183182,76.97054591,53.97198371,94.00765907,0.006922127,0.005668578,24
2023/4/10,109.9,31.1,30.01140802,1301.1642,2.317911704,1.330805975,86.95890863,42.75049858,96.89921011,0.007820403,0.004490006,24
2023/4/10,110,31.1,29.82710245,1289.1406,2.319076538,1.33316337,85.66928642,42.16991151,95.48574801,0.007704424,0.004429028,24
2023/4/10,110.1,31.1,29.53159009,1286.7756,2.659183006,1.117891865,97.08152518,34.94599492,103.1796738,0.008730751,0.003670314,24
2023/4/10,110.2,31.1,29.88296798,1287.3594,2.659052397,1.117693398,98.27637942,35.37155794,104.4480438,0.008838207,0.00371501,24
2023/4/10,110.3,31.1,28.50743058,1314.8511,2.653033203,1.108546988,95.53797896,34.18194103,101.4687662,0.008591937,0.003590067,24
2023/4/10,110.4,31.1,28.60876614,1340.8075,2.662730151,1.1432708,98.12765701,36.07635358,104.5492246,0.008824832,0.003789033,24
2023/4/10,110.5,31.1,29.02273441,1352.1018,2.663869743,1.138344836,100.4290649,36.7476461,106.9410425,0.009031803,0.003859538,24
2023/4/10,110.6,31.1,28.65549904,1359.7172,2.554797564,1.090481478,95.63387999,34.95286872,101.8211276,0.008600561,0.003671036,24
2023/4/10,110.7,31.1,28.2419804,1352.4413,2.552284911,1.093487958,93.65725825,34.3586065,99.76069298,0.0084228,0.003608621,24
2023/4/10,110.8,31.1,28.08596861,1325.1389,2.572140867,0.988653614,91.96959499,30.26933866,96.82272082,0.008271024,0.003179133,24
2023/4/10,110.9,31.1,28.17246497,1299.7583,2.565491528,1.000334799,90.25198175,30.13289018,95.14941556,0.008116556,0.003164802,24
2023/4/10,111,31.1,27.70648178,1317.2133,2.570091993,0.99225296,90.11246558,29.7898185,94.90884964,0.008104009,0.00312877,24
2023/4/10,111.1,31.1,28.43072059,1335.1665,2.49381812,1.299588697,90.94666658,40.58234932,99.59027683,0.00817903,0.00426229,24
2023/4/10,111.2,31.1,30.65789823,1362.1853,2.505243304,1.285033159,100.5141473,44.14696649,109.7818221,0.009039454,0.004636675,24
2023/4/10,111.3,31.1,32.20847701,1392.9586,2.172619434,2.062587053,93.64633249,76.12523579,120.6842455,0.008421817,0.007995294,24
2023/4/10,111.4,31.1,34.1586172,1408.4532,2.185585119,2.051876891,101.0204136,81.20858954,129.6146558,0.009084984,0.008529189,24
2023/4/10,111.5,31.1,36.63300815,1405.1575,1.714476645,3.330528215,84.78672824,141.0323266,164.5566967,0.007625054,0.014812366,24
2023/4/10,111.6,31.1,39.07125992,1395.8729,1.703635877,3.338202798,89.26450154,149.7697047,174.3534218,0.008027749,0.015730037,24
2023/4/10,111.7,31.1,40.68842158,1364.9094,1.288198671,4.812336082,68.73156445,219.8561316,230.3491839,0.006181178,0.023091086,24
2023/4/10,111.8,31.1,41.46630935,1333.279,1.234623058,4.837795664,65.5766944,220.0249383,229.5893646,0.005897454,0.023108816,24
