date,lon,lat,pm25_ug_m3,pblh_m,u_pbl_m_s,v_pbl_m_s,flux_east_t_d,flux_north_t_d,flux_magnitude_t_d,transport_east_t_d_per_m,transport_north_t_d_per_m,wind_valid_hour_count
2024/2/18,108.7,31.1,30.89004206,915.7908,-2.798073596,2.145707611,-76.04534321,49.93364653,90.97397034,-0.006838922,0.005244439,24
2024/2/18,108.8,31.1,31.09806751,930.7051,-2.8027278,2.150797538,-77.93367071,51.20978958,93.25287974,-0.007008743,0.00537847,24
2024/2/18,108.9,31.1,33.03440414,929.5953,-2.802386615,2.150424412,-82.67746689,54.32410042,98.92760695,-0.007435363,0.005705561,24
2024/2/18,109,31.1,32.54138419,929.6951,-2.434871179,2.913892728,-70.77033779,72.520049,101.3291578,-0.006364529,0.007616648,24
2024/2/18,109.1,31.1,33.06598604,963.16034,-2.428648087,2.942824036,-74.30933494,77.09963624,107.0804892,-0.006682799,0.008097633,24
2024/2/18,109.2,31.1,33.87087986,1005.0429,-1.517264863,3.451092314,-49.6216492,96.64416091,108.63886,-0.004462582,0.010150359,24
2024/2/18,109.3,31.1,34.51018515,1039.9971,-1.477442607,3.521949941,-50.9434968,103.9849678,115.7934082,-0.004581459,0.01092135,24
2024/2/18,109.4,31.1,35.58801793,1068.5001,-0.566288123,4.432168712,-20.6878108,138.6444906,140.1794574,-0.0018605,0.014561576,24
2024/2/18,109.5,31.1,36.76039506,1093.1744,-0.533698585,4.457306096,-20.60460956,147.3499685,148.7836118,-0.001853017,0.015475897,24
2024/2/18,109.6,31.1,34.78798183,1094.7201,-0.53170594,4.458843089,-19.4537152,139.6890877,141.0371875,-0.001749515,0.014671289,24
2024/2/18,109.7,31.1,32.58405582,1097.3496,0.362993284,5.296591653,12.46945453,155.7953917,156.2936063,0.001121405,0.016362904,24
2024/2/18,109.8,31.1,30.788249,1102.9629,-0.283691947,4.249895659,-9.255323804,118.7222524,119.0824682,-0.000832351,0.01246918,24
2024/2/18,109.9,31.1,29.31338272,1108.1466,0.633724516,4.477409694,19.77708956,119.6459374,121.2694669,0.001778596,0.012566193,24
2024/2/18,110,31.1,28.84408232,1099.2053,0.619529504,4.464993852,18.87105799,116.4566707,117.9757305,0.001697115,0.01223123,24
2024/2/18,110.1,31.1,29.41507766,1076.1937,1.520281384,3.982119041,46.23630686,103.7009293,113.541529,0.004158131,0.010891518,24
2024/2/18,110.2,31.1,30.21611391,1060.9578,1.490426029,3.953162237,45.90350639,104.2531827,113.9116236,0.004128202,0.01094952,24
2024/2/18,110.3,31.1,29.87128918,1079.7445,1.527118256,3.988750145,47.32017595,105.8326729,115.9299517,0.004255606,0.011115411,24
2024/2/18,110.4,31.1,30.19658576,1098.3589,1.922480432,3.22560711,61.25799217,88.00787756,107.2283923,0.005509064,0.009243306,24
2024/2/18,110.5,31.1,31.56002573,1111.081,1.948272193,3.251205908,65.63438448,93.78545937,114.4708907,0.005902642,0.009850115,24
2024/2/18,110.6,31.1,32.34996214,1123.6213,2.129394152,2.631559526,74.36156347,78.68915892,108.2664577,0.006687496,0.008264578,24
2024/2/18,110.7,31.1,33.02353555,1132.963,2.149010025,2.649931841,77.2460803,81.56089132,112.3349274,0.006946907,0.008566191,24
2024/2/18,110.8,31.1,33.10079087,1137.4661,2.770011252,2.965806418,100.197545,91.86024475,135.9332652,0.009010982,0.009647913,24
2024/2/18,110.9,31.1,33.59099675,1136.7902,2.768388156,2.964735622,101.561454,93.13161806,137.7977765,0.009133641,0.009781443,24
2024/2/18,111,31.1,33.40207214,1098.7512,2.673823279,2.902348833,94.2766598,87.62546708,128.7101824,0.008478504,0.009203142,24
2024/2/18,111.1,31.1,34.15849395,1060.7543,2.918417299,3.160405803,101.592026,94.20291263,138.546485,0.00913639,0.009893959,24
2024/2/18,111.2,31.1,36.0743078,1036.6168,2.84704118,3.126759624,102.2842379,96.18751607,140.4069213,0.009198643,0.010102398,24
2024/2/18,111.3,31.1,36.84068788,1018.30414,2.531995519,3.951392966,91.25714715,121.9448398,152.3102454,0.008206952,0.012807643,24
2024/2/18,111.4,31.1,38.15282533,1008.28064,2.505204331,3.941017699,92.58699773,124.7166632,155.3273905,0.008326549,0.013098762,24
2024/2/18,111.5,31.1,39.71366231,1002.3929,2.274440093,5.542769495,86.986356,181.5150767,201.2817657,0.007822871,0.019064195,24
2024/2/18,111.6,31.1,41.20893931,993.0922,2.252574699,5.531368591,88.56434686,186.2179629,206.2056576,0.007964783,0.019558131,24
2024/2/18,111.7,31.1,41.60905899,977.71716,2.184998936,7.007762014,85.39866403,234.5246202,249.589121,0.007680086,0.02463169,24
2024/2/18,111.8,31.1,41.64631842,959.6902,2.159702798,6.965434401,82.9278453,229.0149568,243.5669886,0.00745788,0.024053021,24
2024/2/18,111.9,31.1,42.51330745,939.4682,2.102881331,6.898878964,80.69013803,226.6696992,240.6035139,0.007256638,0.023806703,24
2024/2/18,112,31.1,44.72577135,922.69696,2.317489612,8.177814994,91.88263477,277.6273037,292.4368964,0.008263204,0.029158686,24
2024/2/18,112.1,31.1,46.88895705,908.7489,2.293405041,8.127691494,93.88451108,284.8981614,299.9687714,0.008443237,0.029922331,24
2024/2/18,112.2,31.1,47.9068525,899.0684,2.243270222,8.623842464,92.82622276,305.5618645,319.3505295,0.008348063,0.032092602,24
2024/2/18,112.3,31.1,48.59656145,887.05396,2.221635162,8.565701244,92.00830616,303.7571209,317.3860692,0.008274506,0.031903053,24
2024/2/18,112.4,31.1,48.02120213,838.2962,2.127469285,8.312643525,82.2796696,275.2818936,287.315271,0.007399588,0.028912352,24
2024/2/18,112.5,31.1,50.51443896,787.36926,1.825320996,8.51989768,69.74803127,278.7637725,287.3569709,0.006272591,0.029278047,24
2024/2/18,112.6,31.1,50.77628791,699.82367,1.665196209,8.022912048,56.84780546,234.5252305,241.3167146,0.005112446,0.024631755,24
2024/2/18,112.7,31.1,50.76695847,604.9772,1.388556891,8.895710923,40.9715643,224.7546982,228.4586253,0.003684661,0.023605574,24
2024/2/18,112.8,31.1,48.85579967,540.0161,1.226574128,8.489491353,31.08961539,184.2521098,186.8566406,0.002795956,0.019351661,24
2024/2/18,112.9,31.1,45.3463444,501.81958,1.209330756,9.516835602,26.43831045,178.1518829,180.102964,0.002377654,0.018710965,24
2024/2/18,113,31.1,41.15382267,465.0546,1.072880847,9.259891184,19.72714942,145.7900801,147.1186864,0.001774105,0.015312065,24
2024/2/18,113.1,31.1,37.23235684,463.18127,0.403117661,9.312582022,6.678855668,132.1142286,132.2829411,0.000600644,0.013875715,24
2024/2/18,113.2,31.1,32.92606635,461.57837,0.393185374,9.298587152,5.740918321,116.2546222,116.3962857,0.000516293,0.01221001,24
2024/2/18,113.3,31.1,31.49223003,484.92914,0.531388142,9.493318715,7.796366939,119.2635476,119.5181037,0.000701144,0.012526032,24
